actor_name,actor_tmdb_id,actor_ethnicity,confidence,reasoning
Jeremy Strong,239271,White,high,"Jeremy Strong is a well-known actor of European descent, and his ethnicity is publicly documented."
Kieran Culkin,18793,White,high,"Kieran Culkin is a well-known actor of Irish descent, which is publicly documented."
Sarah Snook,235416,White,high,"Sarah Snook is an Australian actress, and her ethnicity is publicly documented as White."
Brian Cox,1248,White,high,"Brian Cox is a well-known Scottish actor, and his ethnicity is publicly documented as White."
Matthew Macfadyen,15576,White,high,"Matthew Macfadyen is a well-known British actor of English descent, which is publicly documented."
Alan Ruck,2394,White,high,"Alan Ruck is a well-known actor of Caucasian descent, and this information is publicly documented."
J. Smith-Cameron,52475,White,high,"J. Smith-Cameron is a well-known actress of Caucasian descent, and her ethnicity is publicly documented."
Nicholas Braun,85139,White,high,"Nicholas Braun is a well-known actor, and his ethnicity is publicly documented as White."
Dagmara Dominczyk,52776,White,high,"Dagmara Dominczyk is a Polish-American actress, and her ethnicity is well-documented as White."
Peter Friedman,54246,White,high,"Peter Friedman is a well-known actor of European descent, and his ethnicity is publicly documented."
Justine Lupe,1689289,White,high,"Justine Lupe is a well-known actress, and her ethnicity is publicly documented as White."
David Rasche,33533,White,high,"David Rasche is a well-known actor of European descent, and his ethnicity is publicly documented."
Fisher Stevens,26473,White,high,"Fisher Stevens is a well-known actor of European descent, specifically of Jewish heritage."
Tyler Posey,53280,Mixed/Multiracial,high,"Tyler Posey is of Mexican and American descent, which categorizes him as Mixed/Multiracial."
Holland Roden,208782,White,high,"Holland Roden is a well-known actress, and her ethnicity is publicly documented as White."
Shelley Hennig,444211,White,high,"Shelley Hennig is a well-known American actress of predominantly European descent, which is publicly documented."
Dylan Sprayberry,236302,White,high,"Dylan Sprayberry is a well-known actor, and his ethnicity is publicly documented as White."
Linden Ashby,57251,White,high,"Linden Ashby is a well-known actor, and his ethnicity is publicly documented as White."
Melissa Ponzio,168658,Hispanic/Latino,high,"Melissa Ponzio is known to have Hispanic heritage, which is publicly documented."
JR Bourne,62911,White,high,"JR Bourne is a well-known actor of Canadian descent, and his ethnicity is publicly documented as White."
H. Jon Benjamin,185773,White,high,"H. Jon Benjamin is a well-known actor and comedian of Caucasian descent, and this information is publicly documented."
John Roberts,1251981,White,high,John Roberts is a well-known actor and his ethnicity is publicly documented as White.
Kristen Schaal,109869,White,high,Kristen Schaal is a well-known actress and her ethnicity is publicly documented as White.
Eugene Mirman,1217563,White,high,"Eugene Mirman is a well-known comedian and actor of Jewish descent, which is categorized as White."
Dan Mintz,224512,White,high,"Dan Mintz is a well-known actor and comedian, and his ethnicity is publicly documented as White."
Larry Murphy,1230596,White,high,Larry Murphy is a well-known actor and his ethnicity is publicly documented as White.
Blake Lively,59175,White,high,Blake Lively is a well-known actress and her ethnicity as White is publicly documented.
Leighton Meester,85825,White,high,Leighton Meester is a well-known actress and her ethnicity is publicly documented as White.
Penn Badgley,110927,White,high,"Penn Badgley is a well-known actor of predominantly European descent, which is publicly documented."
Chace Crawford,60899,White,high,"Chace Crawford is a well-known actor, and his ethnicity is publicly documented as White."
Ed Westwick,21662,White,high,Ed Westwick is a British actor known for his role in 'Gossip Girl' and is publicly identified as White.
Kaylee DeFer,1216163,White,high,"Kaylee DeFer is a well-known actress, and her ethnicity is publicly documented as White."
Matthew Settle,33286,White,high,"Matthew Settle is a well-known actor, and his ethnicity is publicly documented as White."
Kelly Rutherford,53924,White,high,"Kelly Rutherford is a well-known actress of European descent, and her ethnicity is publicly documented."
Karl Urban,1372,White,high,"Karl Urban is a well-known actor from New Zealand, and his ethnicity is publicly documented as European descent."
Jack Quaid,1030513,White,high,"Jack Quaid is the son of actors Dennis Quaid and Meg Ryan, both of whom are of White ethnicity."
Antony Starr,60373,White,high,"Antony Starr is a well-known actor from New Zealand, and his ethnicity is publicly documented as Caucasian."
Erin Moriarty,990393,White,high,"Erin Moriarty is a well-known actress, and her ethnicity is publicly documented as White."
Jessie T. Usher,198847,Black,high,Jessie T. Usher is a well-known actor and his ethnicity is publicly documented as Black.
Laz Alonso,10964,Black,high,"Laz Alonso is a well-known actor of Afro-Puerto Rican descent, which is publicly documented."
Tomer Capone,1550587,Middle Eastern,high,"Tomer Capone is an Israeli actor, and his ethnicity is publicly documented as Middle Eastern."
Karen Fukuhara,1461608,East Asian,high,"Karen Fukuhara is a Japanese-American actress, and her ethnicity is well-documented."
Nathan Mitchell,229422,Black,high,"Nathan Mitchell is a well-known actor of Black descent, and this information is publicly documented."
Colby Minifie,1157294,White,high,Colby Minifie is a well-known actress whose ethnicity is publicly documented as White.
Cameron Crovetti,1696015,White,high,Cameron Crovetti is a well-known actor and his ethnicity is publicly documented as White.
Susan Heyward,1422261,Black,high,"Susan Heyward is a well-known actress of African descent, and her ethnicity is publicly documented."
Valorie Curry,1181426,White,high,"Valorie Curry is a well-known actress, and her ethnicity is publicly documented as White."
Ellen Pompeo,9280,White,high,"Ellen Pompeo is a well-known actress, and her ethnicity as White is publicly documented."
Chandra Wilson,171075,Black,high,Chandra Wilson is a well-known actress and her ethnicity as Black is publicly documented.
James Pickens Jr.,25544,Black,high,"James Pickens Jr. is a well-known actor recognized for his roles in television and film, and his ethnicity is publicly documented as Black."
Caterina Scorsone,81684,White,high,"Caterina Scorsone is a well-known actress of Italian descent, which is categorized as White."
Camilla Luddington,236021,White,high,"Camilla Luddington is a British actress of English descent, which is classified as White."
Kevin McKidd,9013,White,high,"Kevin McKidd is a Scottish actor, and his ethnicity is well-documented as White."
Kim Raver,17836,White,high,"Kim Raver is a well-known actress of Caucasian descent, and her ethnicity is publicly documented."
Jason George,95475,Black,high,"Jason George is a well-known actor of African American descent, and his ethnicity is publicly documented."
Chris Carmack,87440,White,high,Chris Carmack is a well-known actor and his ethnicity is publicly documented as White.
Anthony Hill,1583975,Black,high,"Anthony Hill is a well-known actor recognized for his roles in various television series and films, and his ethnicity is publicly documented."
Adelaide Kane,131781,Mixed/Multiracial,high,"Adelaide Kane has publicly identified as having both Irish and Scottish ancestry, indicating a mixed background."
Cillian Murphy,2037,White,high,"Cillian Murphy is an Irish actor, and his ethnicity is well-documented as White."
Paul Anderson,220448,White,high,"Paul Anderson is a well-known British actor, and his ethnicity is publicly documented as White."
Sophie Rundle,1088620,White,high,"Sophie Rundle is a well-known British actress, and her ethnicity is publicly documented as White."
Natasha O'Keeffe,1167897,White,high,"Natasha O'Keeffe is a British actress known for her roles in various television series, and her ethnicity is publicly documented as White."
Peter Dinklage,22970,White,high,"Peter Dinklage is a well-known actor of Caucasian descent, and this information is publicly documented."
Kit Harington,239019,White,high,"Kit Harington is a well-known British actor of predominantly English descent, which is publicly documented."
Nikolaj Coster-Waldau,12795,White,high,"Nikolaj Coster-Waldau is a Danish actor, and his ethnicity is well-documented as White."
Lena Headey,17286,White,high,"Lena Headey is a well-known British actress of English and Irish descent, which is publicly documented."
Emilia Clarke,1223786,White,high,"Emilia Clarke is a well-known British actress, and her ethnicity is publicly documented as White."
Liam Cunningham,15498,White,high,"Liam Cunningham is an Irish actor, and his ethnicity is well-documented as White."
Maisie Williams,1181313,White,high,"Maisie Williams is a well-known British actress, and her ethnicity is publicly documented as White."
Isaac Hempstead Wright,239020,White,high,"Isaac Hempstead Wright is a well-known actor, and his ethnicity is publicly documented as White."
Sophie Turner,1001657,White,high,"Sophie Turner is a well-known actress of English descent, and her ethnicity is publicly documented."
John Bradley,1010135,White,high,"John Bradley is a well-known actor, recognized for his role in 'Game of Thrones', and his ethnicity is publicly documented as White."
Rory McCann,3075,White,high,"Rory McCann is a Scottish actor, and his ethnicity is well-documented as White."
Sean Murray,1230381,White,high,"Sean Murray is a well-known actor of Irish descent, and his ethnicity is publicly documented."
Wilmer Valderrama,18975,Hispanic/Latino,high,"Wilmer Valderrama is a well-known actor of Venezuelan and Colombian descent, which is publicly documented."
Katrina Law,164930,Mixed/Multiracial,high,"Katrina Law is of Taiwanese and Italian descent, which classifies her as Mixed/Multiracial."
Brian Dietzen,1213580,White,high,"Brian Dietzen is a well-known actor, and his ethnicity is publicly documented as White."
Rocky Carroll,27448,Black,high,Rocky Carroll is a well-known actor and his ethnicity is publicly documented as Black.
Diona Reasonover,1470346,Black,high,Diona Reasonover is a well-known actress and her ethnicity is publicly documented as Black.
Gary Cole,21163,White,high,Gary Cole is a well-known actor whose ethnicity is publicly documented as White.
William H. Macy,3905,White,high,William H. Macy is a well-known American actor whose ethnicity is publicly documented as White.
Jeremy Allen White,206905,White,high,"Jeremy Allen White is a well-known actor of Caucasian descent, and this information is publicly documented."
Ethan Cutkosky,132213,White,high,"Ethan Cutkosky is a well-known actor, and his ethnicity is publicly documented as White."
Shanola Hampton,110531,Black,high,"Shanola Hampton is a well-known actress, and her ethnicity as Black is publicly documented."
Steve Howey,81388,White,high,"Steve Howey is a well-known actor, and his ethnicity is publicly documented as White."
