title,character_name,actor_name,sympathy_coding,arc_presence,arc_direction,confidence_arc,reasoning_arc
The Super Mario Galaxy Movie,Mario (voice),Chris Pratt,protagonist,significant,positive,medium,"Mario is the main character that audiences root for, and he undergoes a meaningful transformation throughout the story."
The Super Mario Galaxy Movie,Luigi (voice),Charlie Day,protagonist,significant,positive,medium,Luigi is a central character who undergoes meaningful growth and is portrayed as a supportive figure to the protagonist.
The Super Mario Galaxy Movie,Princess Peach (voice),Anya Taylor-Joy,protagonist,significant,positive,medium,Princess Peach is a central character who undergoes meaningful growth and is portrayed as a heroic figure.
The Super Mario Galaxy Movie,Bowser (voice),Jack Black,antagonist,flat,none,medium,"Bowser serves as the primary antagonist in the story, opposing the protagonists without significant character development."
The Super Mario Galaxy Movie,Toad (voice),Keegan-Michael Key,neutral,flat,none,low,Toad is a minor character in the film with limited development and a functional role.
The Super Mario Galaxy Movie,Bowser Jr. (voice),Benny Safdie,antagonist,flat,none,low,"Bowser Jr. is typically portrayed as an antagonist in the Mario franchise, and there is limited information on his character development in this specific film."
The Super Mario Galaxy Movie,Yoshi (voice),Donald Glover,neutral,flat,none,low,Yoshi is a minor character in the film with limited development and a functional role.
The Super Mario Galaxy Movie,Wart (voice),Luis Guzmán,neutral,flat,none,low,"Wart is a minor character with limited information available, suggesting minimal impact on the story."
The Super Mario Galaxy Movie,Honey Queen (voice),Issa Rae,neutral,flat,none,low,The character Honey Queen has minimal information available and appears to serve a functional role without significant development.
The Super Mario Galaxy Movie,Kamek (voice),Kevin Michael Richardson,antagonist,flat,none,low,Kamek serves as an antagonist in the story but does not undergo significant development.
The Super Mario Galaxy Movie,Rosalina (voice),Brie Larson,protagonist,significant,positive,medium,Rosalina is portrayed as a central character who undergoes meaningful growth and is positioned as a figure of support and guidance.
The Super Mario Galaxy Movie,Fox McCloud (voice),Glen Powell,neutral,flat,none,low,"Fox McCloud is a minor character in a film that is not widely recognized, making it difficult to assess his role and development accurately."
The Super Mario Galaxy Movie,Lumalee (voice),Juliet Jelenic,neutral,flat,none,low,Lumalee appears to be a minor character with limited development and a neutral role in the story.
The Super Mario Galaxy Movie,R.O.B. (voice),Ed Skudder,neutral,flat,none,low,R.O.B. is a minor character with limited development and a functional role in the story.
The Super Mario Galaxy Movie,Ukiki (voice),Roxana Ortega,neutral,flat,none,low,Ukiki appears to be a minor character with limited development and a functional role in the story.
The Super Mario Galaxy Movie,Yellow Luma (voice),Virginia Dare Jelenic,neutral,flat,none,low,Yellow Luma appears to be a minor character with limited development and a functional role in the story.
The Super Mario Galaxy Movie,Toad General / Pajama Toad (voice),Eric Bauza,neutral,flat,none,low,The character appears to serve a functional role without significant development or clear audience connection.
The Super Mario Galaxy Movie,Additional Voices (voice),Carlos Alazraqui,neutral,flat,none,low,The character 'Additional Voices' is likely a minor role with no significant development or emotional connection to the audience.
Apex,Sasha,Charlize Theron,neutral,flat,none,low,Sasha is a minor character in 'Apex' with limited development and unclear audience relationship.
Apex,Ben,Taron Egerton,protagonist,significant,positive,medium,Ben is portrayed as a main character who undergoes meaningful growth throughout the story.
Apex,Tommy,Eric Bana,neutral,flat,none,low,Tommy is a minor character in 'Apex' with limited development and unclear audience relationship.
Apex,Leah,Caitlin Stasey,neutral,flat,none,low,Leah is a minor character in 'Apex' with limited development and unclear audience relationship.
Apex,Cashier,Bessie Holland,neutral,flat,none,low,The character 'Cashier' appears to have minimal screen time and does not significantly impact the story or undergo development.
Apex,Sean,Zachary Garred,neutral,flat,none,low,Sean is a minor character with limited development and unclear impact on the main narrative.
Apex,Hunter,Matt Whelan,neutral,flat,none,low,Hunter appears to be a minor character with limited development and a clear role in the plot.
Apex,2nd Hunter,Rob Carlton,neutral,flat,none,low,The character '2nd Hunter' appears to have minimal development and serves a functional role in the plot.
Apex,Park Ranger,Aaron Pedersen,neutral,flat,none,low,The character 'Park Ranger' played by Aaron Pedersen appears to have a minimal role with no clear development or significant impact on the story.
Apex,Dad,Duncan Fellows,neutral,flat,none,low,The character 'Dad' appears to serve a functional role in the story without significant development or clear audience connection.
Apex,Mom,Julia Ohannessian,neutral,flat,none,low,The character 'Mom' appears to be a minor character with limited development and a functional role in the story.
Apex,Boy,Niam Hogan,neutral,flat,none,low,"The character 'Boy' has minimal information available, suggesting a lack of significant development or impact on the story."
Apex,Teenage Daughter,Willow Seager,neutral,flat,none,low,The character 'Teenage Daughter' appears to have minimal development and serves a functional role in the story.
Swapped,Ollie (voice),Michael B. Jordan,neutral,flat,none,low,"Ollie is a voice character in a lesser-known film, and there is insufficient information to determine a clear role or development."
Swapped,Ivy (voice),Juno Temple,neutral,flat,none,low,Ivy appears to be a minor character with limited development and a functional role in the story.
Swapped,Boogle / Firewolf (voice),Tracy Morgan,neutral,flat,none,low,Boogle / Firewolf appears to be a minor character with limited development and unclear audience relationship.
Swapped,Caloo (voice),Cedric the Entertainer,neutral,flat,none,low,"Caloo is a minor character with limited information available, suggesting minimal impact on the story."
Swapped,Calli (voice),Justina Machado,neutral,flat,none,low,"Calli is a voice character in a lesser-known film, and there is insufficient information to determine her role or development."
Swapped,Lodd (voice),Nate Torrence,neutral,flat,none,low,Lodd appears to be a minor character with limited development and a neutral role in the story.
Swapped,Young Ollie (voice),Camden Brooks,neutral,flat,none,low,"Young Ollie is a minor character with limited information available, suggesting minimal impact on the story."
Swapped,Grandma / Mrs. Dung Beetle (voice),Tata Vega,neutral,flat,none,low,The character appears to be a minor role with limited development and no clear relationship with the audience.
Swapped,Violet (voice),Ambika Mod,neutral,flat,none,low,Violet appears to be a minor character with limited development and a functional role in the story.
Swapped,Lily (voice),Lolly Adefope,neutral,flat,none,low,"Lily is a voice character with minimal information available, suggesting a lack of significant development or audience connection."
Swapped,Elder Javan (voice),John Ratzenberger,neutral,flat,none,low,Elder Javan appears to be a minor character with limited development and a neutral role in the story.
Swapped,Female Pookoo / Nurse Javan (voice),Kari Wahlgren,neutral,flat,none,low,The character appears to be a minor role with limited development and no clear relationship with the audience.
Swapped,Elder Javan 2 / Rock Bear (voice),Fred Tatasciore,neutral,flat,none,low,Elder Javan 2 / Rock Bear appears to be a minor character with limited development and a functional role in the story.
Swapped,Wolf Pup (voice),Zemo Tatasciore,neutral,flat,none,low,"Wolf Pup is a minor character with limited information available, suggesting minimal development and a neutral role in the story."
Swapped,Wolf Father (voice),David Lodge,neutral,flat,none,low,"The character is a voice role with minimal information available, suggesting a lack of significant development or audience connection."
Swapped,Mr. Dung Beetle (voice),Johnny Williams,neutral,flat,none,low,Mr. Dung Beetle appears to be a minor character with limited development and a neutral role in the story.
Swapped,Pinecone Hedgehog (voice),Maven Morgan,neutral,flat,none,low,Pinecone Hedgehog appears to be a minor character with limited development and a neutral role in the story.
Swapped,Snake 1 (voice),Nathan Greno,neutral,flat,none,low,The character 'Snake 1' appears to be a minor role with limited development and no clear relationship with the audience.
Swapped,Snake 2 (voice),Tim Mertens,neutral,flat,none,low,"Snake 2 is a minor character with limited information available, suggesting minimal impact on the story."
Send Help,Linda Liddle,Rachel McAdams,neutral,flat,none,low,"Linda Liddle is a minor character with limited information available, making it difficult to assess her role and development in the story."
Send Help,Bradley Preston,Dylan O'Brien,protagonist,significant,positive,medium,Bradley Preston is portrayed as a relatable character who undergoes meaningful growth throughout the story.
Send Help,Zuri,Edyll Ismail,neutral,flat,none,low,Zuri appears to be a minor character with limited development and unclear impact on the main narrative.
Send Help,Franklin,Dennis Haysbert,neutral,flat,none,low,Franklin is a minor character in 'Send Help' with limited development and unclear audience relationship.
Send Help,Donovan,Xavier Samuel,neutral,flat,none,low,Donovan is a minor character in 'Send Help' with limited development and unclear audience relationship.
Send Help,Chase,Chris Pang,protagonist,significant,positive,medium,Chase is a central character whose journey evokes audience support and undergoes meaningful personal growth.
Send Help,Boat Captain,Thaneth Warakulnukroh,neutral,flat,none,low,The character 'Boat Captain' has minimal screen time and does not exhibit significant development or a clear relationship with the audience.
Send Help,River,Emma Raimi,neutral,flat,none,low,River appears to be a minor character with limited development and unclear impact on the main narrative.
Send Help,Polly Perera,Kristy Best,neutral,flat,none,low,"Polly Perera is a minor character with limited information available, making it difficult to assess her role and development in the story."
Send Help,Barbara,Francesca Waters,neutral,flat,none,low,Barbara appears to be a minor character with limited development and a functional role in the story.
Send Help,Applicant,Olivia Sawyer,neutral,flat,none,low,The character 'Applicant' appears to have minimal screen time and does not significantly impact the main narrative.
Send Help,Trainer,Brad Flett,neutral,flat,none,low,"Trainer is a minor character with limited information available, making it difficult to assess his role and development."
Send Help,Flight Attendant,Nana Miya,neutral,flat,none,low,The character 'Flight Attendant' has minimal screen time and does not exhibit significant development or a clear relationship with the audience.
Send Help,Caretaker #1,Anuwat Pornladawong,neutral,flat,none,low,Caretaker #1 is a minor character with limited development and a functional role in the story.
Send Help,Caretaker #2,Benjawan Teawsomboonkit,neutral,flat,none,low,Caretaker #2 appears to be a minor character with limited development and a functional role in the story.
Send Help,Office Bro,Aaron Shore,neutral,flat,none,low,The character 'Office Bro' appears to be a minor character with limited development and a neutral role in the story.
The Devil Wears Prada,Miranda Priestly,Meryl Streep,antagonist,minor,negative,high,"Miranda Priestly is primarily an antagonist who creates conflict for the protagonist, and while she shows some complexity, her character does not undergo significant change throughout the film."
The Devil Wears Prada,Andy Sachs,Anne Hathaway,protagonist,significant,positive,high,Andy Sachs evolves from a naive assistant to a more self-aware individual who prioritizes her values over her job.
The Devil Wears Prada,Emily,Emily Blunt,fallen,minor,negative,medium,"Emily starts as a sympathetic character but becomes more antagonistic as the story progresses, particularly in her interactions with the protagonist."
The Devil Wears Prada,Nigel,Stanley Tucci,neutral,flat,none,medium,Nigel serves primarily as a supportive character to the protagonist without significant personal development.
The Devil Wears Prada,Christian Thompson,Simon Baker,neutral,flat,none,medium,Christian Thompson serves primarily as a supporting character without significant development or change throughout the story.
The Devil Wears Prada,Nate,Adrian Grenier,neutral,flat,none,medium,Nate serves as a supportive character in the story without significant development or transformation.
The Devil Wears Prada,Lily,Tracie Thoms,neutral,flat,none,low,Lily is a minor character with limited development and serves primarily to support the main narrative.
The Devil Wears Prada,Doug,Rich Sommer,neutral,flat,none,low,Doug is a minor character with limited development and does not significantly impact the main narrative.
The Devil Wears Prada,James Holt,Daniel Sunjata,neutral,flat,none,low,James Holt is a minor character with limited development and does not significantly impact the main narrative.
The Devil Wears Prada,Richard Sachs,David Marshall Grant,neutral,flat,none,low,Richard Sachs is a minor character with limited development and does not significantly impact the main narrative.
The Devil Wears Prada,Stephen,James Naughton,neutral,flat,none,low,Stephen is a minor character with limited development and does not significantly impact the main narrative.
The Devil Wears Prada,Irv Ravitz,Tibor Feldman,neutral,flat,none,low,Irv Ravitz is a minor character with limited development and serves primarily to support the main plot.
The Devil Wears Prada,Jocelyn,Rebecca Mader,neutral,flat,none,low,Jocelyn is a minor character with limited development and does not significantly impact the main narrative.
The Devil Wears Prada,Lucia,Jimena Hoyos,neutral,flat,none,low,Lucia is a minor character with limited development and does not significantly impact the main narrative.
The Devil Wears Prada,Serena,Gisele Bündchen,neutral,flat,none,medium,Serena is a minor character with limited development and serves primarily as a background figure in the story.
The Devil Wears Prada,Paul,George C. Wolfe,neutral,flat,none,low,Paul is a minor character in 'The Devil Wears Prada' with limited development and does not significantly impact the main narrative.
The Devil Wears Prada,Editor,John Rothman,neutral,flat,none,medium,The Editor serves a functional role in the story without significant development or a clear relationship with the audience.
The Devil Wears Prada,Jacqueline Follet,Stephanie Szostak,neutral,flat,none,medium,Jacqueline Follet serves as a supporting character without significant development or a clear emotional arc.
The Devil Wears Prada,Caroline,Colleen Dengel,neutral,flat,none,low,Caroline is a minor character with limited development and does not significantly impact the main narrative.
